Generation,Best Score,Average Score,Best Lap Time,Laps,Average Laps,TPS,Time Spent,Last Mutate Rate,Last Evolution,Father Rank
1360,230000.0,78439.008,6596.0,23.0,7.681333333333333,1429,24.437926054000854,r,-,0
1361,10000.0,8218.121333333333,6350.0,1.0,0.784,1482,24.288859128952026,m,0.2,150
1362,10000.0,8120.832,6235.0,1.0,0.7333333333333333,1423,23.55923891067505,n,0.1,33
1363,10000.0,7823.094666666667,6118.0,1.0,0.664,1554,21.252531051635742,n,0.02,98
1364,10000.0,7521.24,5993.0,1.0,0.592,1547,20.169113159179688,n,0.02,69
1365,10000.0,7294.498666666666,5993.0,1.0,0.5706666666666667,1616,19.264734983444214,i,-,0
1366,10000.0,7284.710666666667,5853.0,1.0,0.5453333333333333,1647,19.056548833847046,c,-,111
1367,10000.0,7072.096,5752.0,1.0,0.484,1630,18.02268099784851,m,0.02,0
1368,10000.0,6804.601333333333,5682.0,1.0,0.46266666666666667,1619,17.41120409965515,m,0.2,11
1369,10000.0,7041.164,5682.0,1.0,0.4786666666666667,1586,17.90216612815857,i,-,0
1370,10000.0,7127.442666666667,5682.0,1.0,0.4666666666666667,1535,18.107285976409912,p,-,0
1371,10000.0,6474.66,5668.0,1.0,0.3893333333333333,1649,16.044466018676758,m,0.05,20
1372,10000.0,6185.122666666667,5668.0,1.0,0.36533333333333334,1681,15.690043926239014,i,-,0
1373,10000.0,6011.030666666667,5632.0,1.0,0.36533333333333334,1830,15.848217725753784,m,0.1,50
1374,10000.0,6102.892,5632.0,1.0,0.376,1771,15.990617990493774,i,-,0
1375,10000.0,6248.4,5598.0,1.0,0.37066666666666664,1734,15.840158224105835,m,0.05,52
1376,10000.0,6143.934666666667,5549.0,1.0,0.344,1730,15.626176118850708,m,0.2,38
1377,10000.0,6122.865333333333,5549.0,1.0,0.33866666666666667,1765,15.401433944702148,i,-,0
1378,10000.0,6288.344,5549.0,1.0,0.4026666666666667,1741,15.954314708709717,p,-,0
1379,10000.0,6339.845333333334,5521.0,1.0,0.4106666666666667,1605,16.362446069717407,m,0.02,1
1380,10000.0,6037.525333333333,5501.0,1.0,0.37866666666666665,1729,14.866728782653809,c,-,43
1381,10000.0,6009.144,5493.0,1.0,0.38533333333333336,1719,14.524652004241943,m,0.05,13
1382,10000.0,6108.668,5464.0,1.0,0.3973333333333333,1721,14.721254825592041,m,0.1,86
1383,10000.0,5793.642666666667,5464.0,1.0,0.3586666666666667,1750,13.90831470489502,i,-,0
1384,10000.0,5650.618666666666,5464.0,1.0,0.352,1765,13.962964057922363,p,-,0
1385,10000.0,5925.372,5464.0,1.0,0.37733333333333335,1729,14.104207038879395,p,-,0
1386,10000.0,5647.4293333333335,5445.0,1.0,0.356,1744,14.039544820785522,n,0.1,20
1387,10000.0,5438.344,5440.0,1.0,0.308,1817,13.326018810272217,n,0.05,82
1388,10000.0,5478.322666666667,5440.0,1.0,0.312,1862,13.222883224487305,i,-,0
1389,10000.0,5330.248,5440.0,1.0,0.2813333333333333,1873,13.144088745117188,p,-,0
1390,10000.0,5343.178666666667,5440.0,1.0,0.2946666666666667,1867,13.254676818847656,p,-,0
1391,10000.0,5238.914666666667,5428.0,1.0,0.292,1849,13.549253225326538,n,0.02,37
1392,10000.0,5258.138666666667,5428.0,1.0,0.296,1883,13.33082389831543,i,-,0
1393,10000.0,5212.5706666666665,5428.0,1.0,0.2866666666666667,1903,13.333799123764038,p,-,0
1394,10000.0,5663.393333333333,5428.0,1.0,0.33466666666666667,1815,14.389894962310791,i,-,0
1395,10000.0,5672.404,5425.0,1.0,0.3586666666666667,1837,13.915109872817993,n,0.02,8
1396,10000.0,5481.482666666667,5413.0,1.0,0.32666666666666666,1842,13.459907054901123,m,0.02,6
1397,10000.0,5568.202666666667,5413.0,1.0,0.3426666666666667,1807,13.544008016586304,i,-,0
1398,10000.0,5258.829333333333,5413.0,1.0,0.308,1900,13.00127100944519,p,-,0
1399,10000.0,5092.826666666667,5398.0,1.0,0.28933333333333333,1905,12.895859003067017,c,-,11
1400,10000.0,5210.264,5398.0,1.0,0.308,1891,12.506426811218262,i,-,0
1401,10000.0,5085.102666666667,5394.0,1.0,0.292,1916,12.781981945037842,m,0.02,52
1402,10000.0,5268.716,5386.0,1.0,0.32666666666666666,1930,12.746824026107788,m,0.02,8
1403,10000.0,5017.8893333333335,5386.0,1.0,0.2906666666666667,1890,12.95619010925293,i,-,0
1404,10000.0,5267.002666666666,5386.0,1.0,0.324,1936,12.81345009803772,p,-,0
1405,10000.0,5150.249333333333,5384.0,1.0,0.304,1926,12.740787029266357,m,0.02,24
1406,10000.0,4989.181333333333,5384.0,1.0,0.2906666666666667,2004,12.190238952636719,i,-,0
1407,10000.0,5545.814666666667,5384.0,1.0,0.352,1856,13.603862047195435,c,-,28
1408,10000.0,4974.612,5384.0,1.0,0.288,2022,12.400722980499268,i,-,0
1409,10000.0,5188.852,5384.0,1.0,0.31333333333333335,1934,12.48131275177002,i,-,0
1410,10000.0,5137.66,5380.0,1.0,0.30933333333333335,1923,12.66004204750061,c,-,23
1411,10000.0,5385.442666666667,5380.0,1.0,0.3333333333333333,1879,12.93861198425293,i,-,0
1412,10000.0,5409.293333333333,5380.0,1.0,0.3453333333333333,1908,12.912164688110352,p,-,0
1413,10000.0,5173.528,5379.0,1.0,0.324,1962,12.385077953338623,c,-,40
1414,10000.0,5376.88,5376.0,1.0,0.34933333333333333,1893,12.889726161956787,c,-,81
1415,10000.0,5626.892,5376.0,1.0,0.364,1863,13.318592071533203,i,-,0
1416,10000.0,5052.7373333333335,5366.0,1.0,0.3,1936,12.147221803665161,m,0.05,15
1417,10000.0,5398.288,5366.0,1.0,0.33066666666666666,1792,13.178199052810669,i,-,0
1418,10000.0,5228.265333333334,5353.0,1.0,0.32,1825,13.04599404335022,c,-,52
1419,10000.0,5162.002666666666,5353.0,1.0,0.296,1875,12.781757831573486,i,-,0
1420,10000.0,5056.834666666667,5353.0,1.0,0.2986666666666667,1938,12.334786176681519,p,-,0
1421,10000.0,4867.6106666666665,5353.0,1.0,0.2773333333333333,1947,12.193336725234985,p,-,0
1422,10000.0,5040.532,5353.0,1.0,0.2813333333333333,1901,12.759504795074463,i,-,0
1423,10000.0,5236.914666666667,5353.0,1.0,0.31866666666666665,1897,12.757290124893188,i,-,0
1424,10000.0,5241.316,5353.0,1.0,0.308,1819,13.157654762268066,p,-,0
1425,10000.0,5322.72,5337.0,1.0,0.328,1841,13.114471197128296,n,0.05,27
1426,10000.0,5172.872,5337.0,1.0,0.31066666666666665,1897,12.768993854522705,i,-,0
1427,10000.0,5075.724,5337.0,1.0,0.2986666666666667,1929,12.376909971237183,p,-,0
1428,10000.0,5132.504,5337.0,1.0,0.2986666666666667,1881,12.694707155227661,i,-,0
1429,10000.0,4956.077333333334,5337.0,1.0,0.29333333333333333,1932,12.077585935592651,i,-,0
1430,10000.0,5054.333333333333,5337.0,1.0,0.288,1843,12.58254599571228,p,-,0
