Generation,Best Score,Average Score,Best Lap Time,Laps,Average Laps,TPS,Time Spent,Last Mutate Rate,Last Evolution,Father Rank
4258,8098.0,2506.003,0.0,0.0,0.0,32,214.31377601623535,r,-,0
4259,8098.0,2910.414,0.0,0.0,0.0,27,292.62277483940125,i,-,0
4260,8098.0,3208.43,0.0,0.0,0.0,25,291.8519570827484,p,-,0
4261,8107.0,3329.491,0.0,0.0,0.0,22,312.4516499042511,m,0.02,40
4262,8107.0,3333.745,0.0,0.0,0.0,26,307.6933469772339,i,-,0
4263,8107.0,3313.823,0.0,0.0,0.0,50880,199.89698791503906,i,-,0
4264,8107.0,3352.405,0.0,0.0,0.0,34,150.3242962360382,i,-,0
4265,8107.0,3378.169,0.0,0.0,0.0,26,206.5103943347931,i,-,0
4266,8139.0,3453.351,0.0,0.0,0.0,27,184.4721999168396,m,0.02,96
4267,8139.0,3323.249,0.0,0.0,0.0,25,183.03846311569214,i,-,0
4268,8139.0,3368.031,0.0,0.0,0.0,18,239.30839705467224,i,-,0
4269,8139.0,3409.523,0.0,0.0,0.0,27,213.16729712486267,i,-,0
4270,8139.0,3415.214,0.0,0.0,0.0,48581,230.9817600250244,i,-,0
4271,8139.0,3378.697,0.0,0.0,0.0,20,262.3744249343872,i,-,0
4272,8139.0,3411.716,0.0,0.0,0.0,26,273.41503715515137,i,-,0
4273,9114.0,3408.696,0.0,0.0,0.0,20,291.72528409957886,m,0.02,100
4274,9114.0,3401.76,0.0,0.0,0.0,21,215.9021439552307,i,-,0
4275,9114.0,3391.101,0.0,0.0,0.0,26,226.15288829803467,i,-,0
4276,9114.0,3436.137,0.0,0.0,0.0,25,184.31064796447754,i,-,0
4277,10000.0,3442.548,5238.0,1.0,0.002,31,169.9398639202118,m,0.02,7
4278,10000.0,3357.294,5238.0,1.0,0.002,23,215.4549160003662,i,-,0
4279,10000.0,3533.917,5238.0,1.0,0.036,20,225.67466688156128,p,-,0
4280,10000.0,3587.688,5138.0,1.0,0.061,30,174.96100091934204,n,0.05,15
4281,10000.0,3742.014,5123.0,1.0,0.064,32,169.38930892944336,m,0.05,18
4282,10000.0,4014.978,5123.0,1.0,0.085,29,177.86433601379395,i,-,0
4283,10000.0,4087.092,5100.0,1.0,0.107,31,170.32139587402344,c,-,289
4284,10000.0,4393.916,5100.0,1.0,0.115,30,174.64247512817383,i,-,0
4285,10000.0,4579.16,5100.0,1.0,0.136,28,198.55585622787476,p,-,0
4286,10000.0,4405.278,5100.0,1.0,0.125,27,196.57538890838623,p,-,0
4287,10000.0,4392.112,5085.0,1.0,0.126,29,182.07594513893127,n,0.2,127
4288,10000.0,4266.413,5070.0,1.0,0.125,29,173.88593912124634,m,0.1,34
4289,10000.0,4505.98,5070.0,1.0,0.144,29,177.37882208824158,i,-,0
4290,10000.0,4691.483,5070.0,1.0,0.169,27,183.19496989250183,p,-,0
4291,10000.0,4825.17,5051.0,1.0,0.201,27,180.50539326667786,n,0.02,213
4292,10000.0,5155.922,5039.0,1.0,0.23,27,190.89045572280884,c,-,46
4293,10000.0,5444.607,5024.0,1.0,0.269,24,212.6394820213318,n,0.02,8
4294,10000.0,5457.261,5024.0,1.0,0.274,20,257.6110608577728,i,-,0
4295,10000.0,5457.261,5024.0,1.0,0.274,22,228.86075282096863,r,-,0
4296,10000.0,5272.684,5024.0,1.0,0.228,19,273.54017519950867,i,-,0
4297,10000.0,5502.025,5024.0,1.0,0.267,20,264.96940994262695,p,-,0
4298,10000.0,5793.999,5024.0,1.0,0.28,19,265.3501968383789,p,-,0
4299,10000.0,6025.501,5024.0,1.0,0.3,19,263.53650522232056,p,-,0
4300,10000.0,5984.602,5016.0,1.0,0.302,19,318.4596860408783,m,0.1,99
4301,10000.0,6062.791,5016.0,1.0,0.321,17,262.6311719417572,i,-,0
4302,10000.0,6146.061,5015.0,1.0,0.327,20,257.2609829902649,n,0.02,162
4303,10000.0,6002.186,5015.0,1.0,0.31,19,272.2771418094635,i,-,0
4304,10000.0,5826.841,5015.0,1.0,0.296,22,219.86038088798523,p,-,0
4305,10000.0,5621.066,5015.0,1.0,0.262,23,217.68775510787964,p,-,0
4306,10000.0,5737.644,5015.0,1.0,0.287,23,220.47016310691833,i,-,0
4307,10000.0,5883.324,5009.0,1.0,0.304,22,225.4443621635437,c,-,86
4308,10000.0,5823.752,5009.0,1.0,0.291,23,213.13578701019287,i,-,0
4309,10000.0,5973.99,5009.0,1.0,0.302,23,225.18471908569336,p,-,0
4310,10000.0,5734.745,5009.0,1.0,0.297,10,467.4686472415924,p,-,0
4311,10000.0,5790.752,5009.0,1.0,0.306,8,621.7722220420837,i,-,0
4312,10000.0,5790.752,5009.0,1.0,0.306,20,252.53412890434265,r,-,0
4313,10000.0,5231.209,5009.0,1.0,0.228,21,246.40134406089783,c,-,20
4314,10000.0,5539.299,5006.0,1.0,0.272,19,269.8269290924072,m,0.02,30
4315,10000.0,5693.258,5006.0,1.0,0.294,18,288.8791561126709,i,-,0
4316,10000.0,5334.703,5001.0,1.0,0.225,19,277.9927387237549,m,0.05,35
4317,10000.0,5335.059,4999.0,1.0,0.241,18,279.51455426216125,c,-,50
4318,10000.0,5175.175,4999.0,1.0,0.228,19,267.13271379470825,i,-,0
4319,10000.0,5216.964,4995.0,1.0,0.254,19,264.89137983322144,m,0.02,11
4320,10000.0,5120.382,4988.0,1.0,0.249,19,265.4756438732147,n,0.02,60
4321,10000.0,5142.606,4988.0,1.0,0.237,22,233.97331285476685,i,-,0
4322,10000.0,5339.496,4980.0,1.0,0.236,16,239.32524275779724,m,0.1,12
4323,10000.0,5018.429,4980.0,1.0,0.22,11,361.59481287002563,i,-,0
4324,10000.0,5005.631,4980.0,1.0,0.222,24,213.70135188102722,p,-,0
4325,10000.0,4958.467,4980.0,1.0,0.222,25,201.1311662197113,p,-,0
4326,10000.0,4960.886,4980.0,1.0,0.236,22,210.7308349609375,p,-,0
4327,10000.0,4953.768,4980.0,1.0,0.23,18,357.21353483200073,i,-,0
4328,10000.0,4827.094,4980.0,1.0,0.206,28,184.5313971042633,p,-,0
4329,10000.0,4840.924,4980.0,1.0,0.201,21,459.52455496788025,i,-,0
4330,10000.0,4987.1,4980.0,1.0,0.234,22,214.36914682388306,p,-,0
4331,10000.0,4910.025,4980.0,1.0,0.222,28,186.11101984977722,i,-,0
4332,10000.0,4932.552,4980.0,1.0,0.208,24,247.11066007614136,i,-,0
4333,10000.0,4926.319,4980.0,1.0,0.225,29,234.4326090812683,c,-,31
4334,10000.0,5087.035,4980.0,1.0,0.245,25,194.57572221755981,p,-,0
4335,10000.0,4883.057,4980.0,1.0,0.232,29,224.2600748538971,p,-,0
4336,10000.0,5133.076,4980.0,1.0,0.243,20,448.1995038986206,c,-,21
4337,10000.0,5034.746,4980.0,1.0,0.247,4553,406.6182019710541,i,-,0
4338,10000.0,4896.749,4980.0,1.0,0.22,25402,188.96854710578918,p,-,0
4339,10000.0,5032.956,4980.0,1.0,0.22,27,194.275780916214,i,-,0
4340,10000.0,5013.057,4980.0,1.0,0.236,28,396.059800863266,i,-,0
4341,10000.0,4925.525,4980.0,1.0,0.234,24,206.03202390670776,i,-,0
4342,10000.0,4881.52,4980.0,1.0,0.222,26,200.100594997406,i,-,0
4343,10000.0,4936.817,4980.0,1.0,0.228,15,234.20840001106262,i,-,0
4344,10000.0,4948.794,4980.0,1.0,0.225,25205,191.44768166542053,c,-,18
4345,10000.0,4857.643,4980.0,1.0,0.21,25,296.43605613708496,i,-,0
4346,10000.0,5004.973,4980.0,1.0,0.226,27,210.63505482673645,i,-,0
4347,10000.0,5125.799,4979.0,1.0,0.235,26,191.57474303245544,m,0.02,62
4348,10000.0,5090.124,4979.0,1.0,0.235,24,232.49555683135986,i,-,0
4349,10000.0,4975.861,4979.0,1.0,0.228,24,279.54401779174805,i,-,0
4350,10000.0,5005.049,4976.0,1.0,0.23,20,283.7301228046417,m,0.05,7
4351,10000.0,5044.326,4976.0,1.0,0.22,27,219.40366196632385,i,-,0
4352,10000.0,5167.467,4976.0,1.0,0.238,26,339.9672341346741,p,-,0
4353,10000.0,5008.573,4968.0,1.0,0.23,19,220.00451612472534,n,0.05,58
4354,10000.0,5212.844,4968.0,1.0,0.236,14,204.38590621948242,i,-,0
4355,10000.0,5120.376,4968.0,1.0,0.218,17,225.31990694999695,p,-,0
4356,10000.0,4958.166,4960.0,1.0,0.208,30,168.90872192382812,m,0.02,21
4357,10000.0,5025.434,4960.0,1.0,0.201,23445,251.47921895980835,i,-,0
4358,10000.0,4905.801,4958.0,1.0,0.203,20,455.39057993888855,c,-,307
4359,10000.0,4851.509,4958.0,1.0,0.187,0,5639.715008974075,i,-,0
4360,10000.0,4957.903,4954.0,1.0,0.213,0,12160.60541009903,m,0.02,6
4361,10000.0,5090.394,4954.0,1.0,0.211,1,2518.4425179958344,i,-,0
4362,10000.0,5167.235,4954.0,1.0,0.215,13,285.80403876304626,p,-,0
