Generation,Best Score,Average Score,Best Lap Time,Laps,Average Laps,TPS,Time Spent,Last Mutate Rate,Last Evolution,Father Rank
749,120000.0,24923.513333333332,8592.0,12.0,0.9,3140,29.391072034835815,r,-,0
750,10000.0,5431.045,8345.0,1.0,0.28,3098,28.980862140655518,m,0.1,124
751,10000.0,5719.783333333334,7871.0,1.0,0.3433333333333333,3136,28.47075319290161,m,0.05,4
752,10000.0,5543.305,7871.0,1.0,0.3416666666666667,3273,27.504591703414917,i,-,0
753,10000.0,5459.116666666667,7871.0,1.0,0.3333333333333333,3261,26.31367588043213,p,-,0
754,10000.0,5057.261666666666,7561.0,1.0,0.295,3386,25.543229818344116,n,0.02,2
755,10000.0,4915.41,7537.0,1.0,0.265,3269,26.657679080963135,c,-,12
756,10000.0,4778.126666666667,7824.0,1.0,0.24,42,460.2914628982544,r,-,0
757,10000.0,4730.815,7469.0,1.0,0.21333333333333335,37,408.017315864563,m,0.05,165
758,10000.0,4929.46,7469.0,1.0,0.25333333333333335,37,348.93183422088623,i,-,0
759,10000.0,4843.461666666667,7364.0,1.0,0.26666666666666666,50,289.0601348876953,n,0.05,11
760,10000.0,4679.12,7224.0,1.0,0.23333333333333334,18,292.68967390060425,m,0.1,28
761,10000.0,4582.508333333333,7211.0,1.0,0.20333333333333334,62,174.5005009174347,m,0.02,36
762,10000.0,4470.793333333333,7166.0,1.0,0.215,59,182.54369115829468,m,0.2,218
763,10000.0,4403.64,7145.0,1.0,0.19666666666666666,1,5519.12509894371,m,0.02,0
764,10000.0,4227.3983333333335,6973.0,1.0,0.18833333333333332,5,1724.6826360225677,c,-,32
765,10000.0,4743.586666666667,6867.0,1.0,0.23333333333333334,12,861.7478468418121,m,0.02,144
766,10000.0,4743.586666666667,6867.0,1.0,0.23333333333333334,26,392.3058521747589,r,-,0
767,10000.0,4413.89,6867.0,1.0,0.2,25,383.57527780532837,i,-,0
768,10000.0,4439.345,6867.0,1.0,0.21333333333333335,26,360.1742649078369,p,-,0
769,10000.0,4378.73,6774.0,1.0,0.21,26,355.8912088871002,m,0.02,29
770,10000.0,4228.183333333333,6745.0,1.0,0.18833333333333332,25,359.9513599872589,c,-,23
771,10000.0,4261.156666666667,6677.0,1.0,0.19,28,346.332551240921,n,0.05,141
772,10000.0,4383.8533333333335,6607.0,1.0,0.20166666666666666,27,364.13404512405396,m,0.02,19
