Generation,Best Score,Average Score,Best Lap Time,Laps,Average Laps,TPS,Time Spent,Last Mutate Rate,Last Evolution,Father Rank
978,130000.0,42503.77333333333,7513.0,13.0,4.011111111111111,4729,24.975140810012817,r,-,0
979,10000.0,8714.982222222223,6602.0,1.0,0.8111111111111111,5054,26.093101263046265,n,0.2,62
980,10000.0,8418.002222222221,5742.0,1.0,0.7733333333333333,4924,21.817683219909668,n,0.2,17
981,10000.0,7855.2,5832.0,1.0,0.6977777777777778,4880,19.178651094436646,n,0.02,50
982,10000.0,6974.611111111111,5601.0,1.0,0.5777777777777777,4545,16.522264003753662,m,0.2,39
983,10000.0,6792.377777777778,5454.0,1.0,0.5533333333333333,4923,16.260931968688965,m,0.02,0
984,10000.0,6484.1866666666665,5436.0,1.0,0.4822222222222222,4583,15.532837152481079,m,0.05,2
985,10000.0,6624.608888888889,5413.0,1.0,0.5,4236,14.893356084823608,n,0.2,109
986,10000.0,6615.582222222222,5408.0,1.0,0.5066666666666667,4380,14.59489107131958,r,-,0
987,10000.0,6312.393333333333,5394.0,1.0,0.4577777777777778,3915,14.795422792434692,n,0.1,33
988,10000.0,6589.802222222223,5331.0,1.0,0.4777777777777778,3925,14.890347957611084,m,0.1,4
989,10000.0,6163.602222222222,5316.0,1.0,0.44,3690,14.194726943969727,m,0.02,0
990,10000.0,5276.515555555556,5277.0,1.0,0.37777777777777777,4403,12.463686227798462,n,0.1,103
991,10000.0,5286.748888888889,5277.0,1.0,0.37777777777777777,4378,12.72103500366211,i,-,0
992,10000.0,5358.333333333333,5268.0,1.0,0.37777777777777777,4201,13.217653036117554,m,0.1,0
993,10000.0,5445.091111111111,5215.0,1.0,0.3933333333333333,4284,12.496226787567139,m,0.02,1
994,10000.0,5107.075555555555,5215.0,1.0,0.3333333333333333,3846,13.15310287475586,i,-,0
995,10000.0,5951.413333333333,5199.0,1.0,0.46,3727,14.221345663070679,m,0.02,9
996,10000.0,6077.557777777778,5168.0,1.0,0.4488888888888889,3584,13.50194263458252,m,0.02,0
997,10000.0,6264.331111111111,5168.0,1.0,0.49333333333333335,3625,13.275075912475586,i,-,0
998,10000.0,5824.426666666666,5152.0,1.0,0.43555555555555553,3569,13.193243741989136,c,-,2
999,10000.0,6330.706666666667,5152.0,1.0,0.4777777777777778,3473,14.035125970840454,i,-,0
1000,10000.0,6079.464444444445,5152.0,1.0,0.4288888888888889,3456,13.922387838363647,p,-,0
1001,10000.0,6334.8,5134.0,1.0,0.48,3351,14.49039101600647,m,0.02,7
1002,10000.0,6322.44,5134.0,1.0,0.4311111111111111,3241,14.669333934783936,i,-,0
1003,10000.0,6391.6,5124.0,1.0,0.46,3301,14.668238639831543,c,-,7
1004,10000.0,6486.291111111111,5117.0,1.0,0.44222222222222224,2998,15.421362161636353,n,0.02,49
1005,10000.0,5937.444444444444,5110.0,1.0,0.38222222222222224,2946,15.75875186920166,m,0.05,2
1006,10000.0,6017.373333333333,5082.0,1.0,0.3844444444444444,3022,15.183647155761719,m,0.05,32
1007,10000.0,6180.402222222222,5082.0,1.0,0.40444444444444444,2890,16.061264038085938,i,-,0
1008,10000.0,5831.184444444444,5082.0,1.0,0.38222222222222224,3207,14.531325817108154,p,-,0
1009,10000.0,5843.133333333333,5074.0,1.0,0.36444444444444446,3043,15.210288763046265,m,0.02,7
1010,10000.0,5483.142222222222,5072.0,1.0,0.32666666666666666,3155,14.948559999465942,m,0.05,15
1011,10000.0,5829.275555555556,5066.0,1.0,0.36666666666666664,3139,14.840376138687134,m,0.02,9
1012,10000.0,5587.964444444445,5066.0,1.0,0.33111111111111113,3072,15.41854190826416,i,-,0
1013,10000.0,5800.611111111111,5066.0,1.0,0.3688888888888889,3171,14.78177785873413,p,-,0
1014,10000.0,5963.217777777778,5066.0,1.0,0.36444444444444446,2985,15.931129217147827,p,-,0
1015,10000.0,5876.604444444444,5047.0,1.0,0.3688888888888889,2966,15.703388929367065,m,0.05,5
