Generation,Best Score,Average Score,Best Lap Time,Laps,Average Laps,TPS,Time Spent,Last Mutate Rate,Last Evolution,Father Rank
4258,10000.0,3351.815,3723.0,1.0,0.002,9,138.98016691207886,r,-,0
4259,10000.0,3800.069,3691.0,1.0,0.004,20,182.5683732032776,m,0.02,0
4260,10000.0,4186.379,3691.0,1.0,0.059,37643,164.17836093902588,i,-,0
4261,10000.0,4145.859,3684.0,1.0,0.115,22,172.09192824363708,m,0.02,22
4262,10000.0,4507.67,3684.0,1.0,0.18,18,174.79249095916748,m,0.02,31
4263,10000.0,5032.088,3680.0,1.0,0.233,13,238.8871603012085,m,0.05,4
4264,10000.0,5133.212,3680.0,1.0,0.264,16,308.4983489513397,i,-,0
4265,10000.0,5186.011,3669.0,1.0,0.269,38617,200.95431208610535,m,0.05,309
4266,10000.0,5478.067,3669.0,1.0,0.299,29,131.8911919593811,i,-,0
4267,10000.0,5669.984,3669.0,1.0,0.337,17,225.6426751613617,p,-,0
4268,10000.0,5770.502,3662.0,1.0,0.33,19,184.74630188941956,m,0.05,66
4269,10000.0,5870.137,3659.0,1.0,0.343,19,234.06324815750122,m,0.02,8
4270,10000.0,6004.469,3659.0,1.0,0.359,19,240.14875411987305,i,-,0
4271,10000.0,5931.675,3659.0,1.0,0.352,20,399.97146701812744,p,-,0
4272,10000.0,6442.549,3655.0,1.0,0.397,17,262.6602258682251,n,0.05,168
4273,10000.0,6284.299,3655.0,1.0,0.362,19,272.5168991088867,i,-,0
4274,10000.0,6174.692,3655.0,1.0,0.359,18,291.68078422546387,p,-,0
4275,10000.0,6319.666,3655.0,1.0,0.388,18,215.2454538345337,p,-,0
4276,10000.0,6820.204,3655.0,1.0,0.459,18,246.85878992080688,p,-,0
4277,10000.0,7161.577,3651.0,1.0,0.514,20,196.41139006614685,c,-,61
4278,10000.0,7467.589,3651.0,1.0,0.559,18,215.9453330039978,i,-,0
4279,10000.0,7218.724,3651.0,1.0,0.537,19,245.09697365760803,p,-,0
4280,10000.0,7338.539,3651.0,1.0,0.541,20,183.83401226997375,i,-,0
4281,10000.0,7067.325,3641.0,1.0,0.495,19,187.80963778495789,m,0.05,36
4282,10000.0,7036.628,3641.0,1.0,0.475,20,188.3622088432312,m,0.02,20
4283,10000.0,6832.309,3630.0,1.0,0.47,20,189.35644602775574,m,0.05,22
4284,10000.0,6860.806,3630.0,1.0,0.476,20,186.3804910182953,i,-,0
4285,10000.0,7123.662,3630.0,1.0,0.509,20,180.42200803756714,p,-,0
4286,10000.0,6876.204,3630.0,1.0,0.483,17,208.133770942688,p,-,0
4287,10000.0,7002.204,3630.0,1.0,0.493,20,187.4897599220276,p,-,0
4288,10000.0,7131.516,3630.0,1.0,0.484,20,183.0027949810028,i,-,0
4289,10000.0,7156.011,3630.0,1.0,0.483,21,180.02192902565002,i,-,0
4290,10000.0,6995.146,3630.0,1.0,0.452,21,188.98628783226013,p,-,0
4291,10000.0,6985.248,3630.0,1.0,0.45,20,183.52177834510803,i,-,0
4292,10000.0,7192.559,3630.0,1.0,0.478,20,177.5908432006836,i,-,0
4293,10000.0,7279.118,3629.0,1.0,0.501,19,198.52817106246948,n,0.1,48
4294,10000.0,7231.479,3629.0,1.0,0.5,19,199.55674195289612,i,-,0
4295,10000.0,7335.325,3629.0,1.0,0.499,13,291.22233295440674,p,-,0
4296,10000.0,7335.325,3629.0,1.0,0.499,15,252.4912829399109,r,-,0
4297,10000.0,6977.594,3629.0,1.0,0.461,15,243.0943489074707,i,-,0
4298,10000.0,7142.292,3629.0,1.0,0.49,16,234.15426206588745,i,-,0
4299,10000.0,6765.931,3629.0,1.0,0.44,17,222.36938381195068,i,-,0
4300,10000.0,6663.181,3629.0,1.0,0.405,18,207.9171597957611,p,-,0
4301,10000.0,6781.039,3629.0,1.0,0.427,16,250.12395191192627,p,-,0
4302,10000.0,6752.671,3629.0,1.0,0.434,17,192.66907405853271,p,-,0
4303,10000.0,6809.508,3629.0,1.0,0.44,15,209.05760502815247,i,-,0
4304,10000.0,6752.838,3629.0,1.0,0.43,18,226.10489869117737,i,-,0
4305,10000.0,6804.926,3625.0,1.0,0.435,18,210.4084768295288,n,0.02,327
4306,10000.0,6719.838,3625.0,1.0,0.429,15,237.90623807907104,i,-,0
4307,10000.0,6733.466,3625.0,1.0,0.434,21,207.55946493148804,p,-,0
4308,10000.0,6777.593,3625.0,1.0,0.457,20,184.29893136024475,i,-,0
4309,10000.0,6831.632,3625.0,1.0,0.499,20,190.67851376533508,i,-,0
4310,10000.0,7366.728,3625.0,1.0,0.581,19,194.6856291294098,p,-,0
4311,10000.0,7343.656,3625.0,1.0,0.582,20,184.8374321460724,i,-,0
4312,10000.0,7465.541,3625.0,1.0,0.596,19,197.6878068447113,p,-,0
4313,10000.0,7405.797,3622.0,1.0,0.606,8,467.93543124198914,n,0.05,49
4314,10000.0,7381.3,3622.0,1.0,0.604,7,537.0073499679565,i,-,0
4315,10000.0,7381.3,3622.0,1.0,0.604,16,237.02395606040955,r,-,0
4316,10000.0,7221.808,3622.0,1.0,0.572,15,248.01205706596375,i,-,0
4317,10000.0,7312.357,3622.0,1.0,0.607,15,252.81866121292114,p,-,0
4318,10000.0,7281.469,3622.0,1.0,0.601,14,261.78731393814087,p,-,0
4319,10000.0,7418.028,3622.0,1.0,0.61,13,279.1031301021576,p,-,0
4320,10000.0,7431.335,3622.0,1.0,0.611,13,277.4661750793457,i,-,0
4321,10000.0,7157.235,3622.0,1.0,0.59,14,267.94074606895447,p,-,0
4322,10000.0,7277.188,3622.0,1.0,0.611,14,266.8808469772339,i,-,0
4323,10000.0,7199.991,3622.0,1.0,0.611,14,267.9600920677185,p,-,0
4324,10000.0,7036.532,3622.0,1.0,0.586,15,237.54653096199036,p,-,0
4325,10000.0,6878.422,3622.0,1.0,0.561,17,267.5404300689697,p,-,0
