Generation,Best Score,Average Score,Best Lap Time,Laps,Average Laps,TPS,Time Spent,Last Mutate Rate,Last Evolution,Father Rank
4258,7670.0,2155.883,0.0,0.0,0.0,7,136.3148331642151,r,-,0
4259,10000.0,2855.664,5814.0,1.0,0.003,17,204.94012832641602,m,0.2,54
4260,10000.0,3209.713,5783.0,1.0,0.004,55732,179.5350739955902,m,0.02,254
4261,10000.0,3373.253,5783.0,1.0,0.05,16,262.41327571868896,i,-,0
4262,10000.0,3544.666,5783.0,1.0,0.077,16,313.41083693504333,i,-,0
4263,10000.0,3937.831,5766.0,1.0,0.09,16,308.0688018798828,m,0.02,10
4264,10000.0,4151.739,5766.0,1.0,0.119,28,320.33647179603577,i,-,0
4265,10000.0,4509.79,5743.0,1.0,0.158,21,246.43400597572327,m,0.02,165
4266,10000.0,4624.724,5743.0,1.0,0.176,27,221.55811309814453,i,-,0
4267,10000.0,4602.173,5743.0,1.0,0.181,22,226.85033297538757,p,-,0
4268,10000.0,4699.924,5743.0,1.0,0.176,24,273.99122190475464,i,-,0
4269,10000.0,4700.308,5743.0,1.0,0.18,19,333.03256392478943,p,-,0
4270,10000.0,4668.061,5743.0,1.0,0.184,19,258.20493388175964,p,-,0
4271,10000.0,4622.432,5722.0,1.0,0.172,20,277.6975109577179,m,0.05,73
4272,10000.0,4615.202,5715.0,1.0,0.172,19,260.4077911376953,m,0.02,0
4273,10000.0,4629.765,5715.0,1.0,0.177,20,220.9602210521698,i,-,0
4274,10000.0,4554.136,5711.0,1.0,0.18,20,251.129380941391,n,0.02,198
4275,10000.0,4662.49,5711.0,1.0,0.173,26,221.9444396495819,i,-,0
4276,10000.0,4822.704,5689.0,1.0,0.182,25,218.477783203125,m,0.02,44
4277,10000.0,4872.917,5689.0,1.0,0.194,25,220.17428183555603,i,-,0
4278,10000.0,4635.044,5689.0,1.0,0.184,28,212.09233212471008,p,-,0
4279,10000.0,4437.765,5688.0,1.0,0.178,28,210.20606589317322,n,0.05,107
4280,10000.0,4713.258,5688.0,1.0,0.186,27,231.53422117233276,i,-,0
4281,10000.0,4622.643,5688.0,1.0,0.158,28,209.96729278564453,p,-,0
4282,10000.0,4672.369,5666.0,1.0,0.192,27,212.32584595680237,m,0.1,11
4283,10000.0,4679.878,5666.0,1.0,0.179,25,234.40974402427673,i,-,0
4284,10000.0,4802.127,5666.0,1.0,0.213,26,218.83434581756592,p,-,0
4285,10000.0,5193.676,5664.0,1.0,0.263,25,227.78012704849243,m,0.1,548
4286,10000.0,5139.544,5664.0,1.0,0.265,27,240.20474481582642,i,-,0
4287,10000.0,5339.733,5664.0,1.0,0.289,26,236.97185111045837,p,-,0
4288,10000.0,5179.652,5664.0,1.0,0.243,26,223.2360110282898,p,-,0
4289,10000.0,5030.359,5664.0,1.0,0.225,24,238.06142210960388,m,0.05,4
4290,10000.0,4916.12,5664.0,1.0,0.219,22,263.8334090709686,i,-,0
4291,10000.0,4916.12,5664.0,1.0,0.219,20,296.34027791023254,r,-,0
4292,10000.0,4437.125,5658.0,1.0,0.165,23,257.8623540401459,m,0.02,27
4293,10000.0,5020.122,5658.0,1.0,0.21,22,267.1338188648224,i,-,0
4294,10000.0,4887.27,5658.0,1.0,0.184,22,269.476135969162,p,-,0
4295,10000.0,4937.92,5651.0,1.0,0.194,16,273.2044720649719,m,0.02,27
4296,10000.0,4752.376,5651.0,1.0,0.176,22,254.0479772090912,i,-,0
4297,10000.0,4940.325,5651.0,1.0,0.186,25,244.19434785842896,p,-,0
4298,10000.0,5120.855,5651.0,1.0,0.196,25,251.13649082183838,p,-,0
4299,10000.0,4920.421,5651.0,1.0,0.174,19,293.1270389556885,p,-,0
4300,10000.0,4877.758,5651.0,1.0,0.154,27,213.4765748977661,p,-,0
4301,10000.0,4873.556,5643.0,1.0,0.147,24,224.18425393104553,n,0.05,33
4302,10000.0,4929.939,5635.0,1.0,0.178,26,243.19445991516113,c,-,17
4303,10000.0,5054.041,5635.0,1.0,0.172,25,234.83889985084534,i,-,0
4304,10000.0,4954.21,5635.0,1.0,0.155,25,228.23015093803406,p,-,0
4305,10000.0,4883.323,5635.0,1.0,0.154,14,426.92242097854614,p,-,0
4306,10000.0,4891.264,5635.0,1.0,0.174,8,697.633786201477,i,-,0
4307,10000.0,4891.264,5635.0,1.0,0.174,22,259.2125880718231,r,-,0
4308,10000.0,4657.014,5635.0,1.0,0.127,22,262.8617091178894,i,-,0
4309,10000.0,5154.594,5635.0,1.0,0.171,20,296.15792083740234,p,-,0
4310,10000.0,5053.802,5635.0,1.0,0.179,19,301.68638014793396,p,-,0
4311,10000.0,4824.019,5635.0,1.0,0.162,20,299.1928470134735,p,-,0
4312,10000.0,4797.57,5635.0,1.0,0.166,20,288.689661026001,i,-,0
4313,10000.0,4800.884,5635.0,1.0,0.158,20,291.31701397895813,p,-,0
4314,10000.0,4795.592,5635.0,1.0,0.149,20,284.76151394844055,p,-,0
4315,10000.0,4887.414,5635.0,1.0,0.16,14,293.2986559867859,i,-,0
4316,10000.0,4991.266,5635.0,1.0,0.172,16,287.7449471950531,p,-,0
4317,10000.0,4977.21,5622.0,1.0,0.171,11,361.66233801841736,m,0.05,2
4318,10000.0,5055.613,5622.0,1.0,0.172,18,299.0864818096161,i,-,0
4319,10000.0,4878.011,5622.0,1.0,0.162,21,234.73293590545654,p,-,0
4320,10000.0,4768.282,5622.0,1.0,0.14,19,458.1903989315033,p,-,0
4321,10000.0,4882.623,5622.0,1.0,0.145,26,239.15047025680542,i,-,0
4322,10000.0,4763.906,5622.0,1.0,0.142,16,404.9436502456665,i,-,0
4323,10000.0,4635.839,5622.0,1.0,0.141,20,215.83436393737793,p,-,0
4324,10000.0,4717.337,5622.0,1.0,0.136,23,191.36839175224304,p,-,0
4325,10000.0,4609.218,5622.0,1.0,0.133,22,241.86455869674683,i,-,0
4326,10000.0,4696.018,5622.0,1.0,0.136,20,210.16252493858337,p,-,0
4327,10000.0,4757.17,5622.0,1.0,0.142,23,223.14111590385437,p,-,0
4328,10000.0,4694.425,5622.0,1.0,0.142,21,220.99555706977844,i,-,0
4329,10000.0,4872.822,5622.0,1.0,0.153,20,448.38596510887146,p,-,0
4330,10000.0,4668.785,5622.0,1.0,0.138,11071,406.02386593818665,i,-,0
4331,10000.0,4606.071,5622.0,1.0,0.131,28214,189.7121181488037,i,-,0
4332,10000.0,4663.363,5622.0,1.0,0.129,23,206.20014810562134,p,-,0
4333,10000.0,4691.623,5622.0,1.0,0.139,23,383.01444005966187,i,-,0
4334,10000.0,4658.223,5622.0,1.0,0.141,21,207.06586003303528,p,-,0
4335,10000.0,4667.929,5622.0,1.0,0.134,20,224.11926293373108,i,-,0
4336,10000.0,4650.857,5622.0,1.0,0.134,28242,216.8471941947937,i,-,0
4337,10000.0,4750.183,5622.0,1.0,0.14,29172,321.8611059188843,i,-,0
4338,10000.0,4793.242,5622.0,1.0,0.142,28711,233.6672341823578,p,-,0
4339,10000.0,4720.315,5622.0,1.0,0.154,23,192.4144320487976,i,-,0
4340,10000.0,4880.685,5622.0,1.0,0.15,20,269.2699189186096,p,-,0
4341,10000.0,4668.827,5622.0,1.0,0.147,20,248.47847294807434,p,-,0
4342,10000.0,4693.822,5622.0,1.0,0.143,27,215.39250206947327,p,-,0
4343,10000.0,4715.912,5622.0,1.0,0.137,26,420.6816990375519,p,-,0
4344,10000.0,4819.565,5622.0,1.0,0.161,21,340.13393568992615,i,-,0
4345,10000.0,4732.884,5622.0,1.0,0.15,19,220.72584128379822,p,-,0
4346,10000.0,4698.834,5622.0,1.0,0.14,26,290.2368357181549,p,-,0
4347,10000.0,4834.911,5622.0,1.0,0.148,27,207.7095592021942,p,-,0
4348,10000.0,4595.144,5622.0,1.0,0.148,22,275.1100387573242,i,-,0
4349,10000.0,4748.204,5622.0,1.0,0.147,16,309.01313376426697,i,-,0
4350,10000.0,4744.955,5622.0,1.0,0.145,4,5811.804604053497,i,-,0
4351,10000.0,4762.226,5622.0,1.0,0.149,0,8562.54015493393,p,-,0
4352,10000.0,4628.989,5622.0,1.0,0.137,1,6075.412328243256,i,-,0
4353,10000.0,4593.154,5622.0,1.0,0.138,12,388.27505016326904,i,-,0
