Generation,Best Score,Average Score,Best Lap Time,Laps,Average Laps,TPS,Time Spent,Last Mutate Rate,Last Evolution,Father Rank
1173,130000.0,49132.10166666667,5564.0,13.0,4.871666666666667,20,372.2810060977936,r,-,0
1174,10000.0,9320.505,5344.0,1.0,0.9133333333333333,26,404.6122040748596,m,0.1,49
1175,10000.0,9244.616666666667,5043.0,1.0,0.8966666666666666,23,286.97990894317627,c,-,5
1176,10000.0,8951.821666666667,4966.0,1.0,0.8466666666666667,24,453.6449420452118,m,0.1,23
1177,10000.0,8533.936666666666,4857.0,1.0,0.7733333333333333,17,328.37304186820984,c,-,94
1178,10000.0,7813.113333333334,4798.0,1.0,0.685,57,121.07906603813171,m,0.1,19
1179,10000.0,7173.253333333333,4771.0,1.0,0.5883333333333334,53,129.00384426116943,n,0.1,78
1180,10000.0,6893.705,4680.0,1.0,0.5633333333333334,6,1151.9419271945953,n,0.2,167
1181,10000.0,6469.133333333333,4680.0,1.0,0.5233333333333333,1,4437.53374004364,i,-,0
1182,10000.0,6314.243333333333,4680.0,1.0,0.49166666666666664,4,1433.309242963791,p,-,0
1183,10000.0,5955.58,4680.0,1.0,0.4483333333333333,9,759.2540626525879,i,-,0
1184,10000.0,5955.58,4680.0,1.0,0.4483333333333333,23,289.8665859699249,r,-,0
1185,10000.0,5319.653333333334,4644.0,1.0,0.3466666666666667,22,279.8599307537079,m,0.02,25
1186,10000.0,5879.171666666667,4644.0,1.0,0.42,24,284.2731409072876,i,-,0
1187,10000.0,5929.096666666666,4620.0,1.0,0.39166666666666666,22,304.6098449230194,m,0.02,31
1188,10000.0,5632.653333333334,4620.0,1.0,0.34833333333333333,23,298.4932382106781,i,-,0
1189,10000.0,5794.343333333333,4601.0,1.0,0.3333333333333333,22,328.12847113609314,m,0.05,0
1190,10000.0,6060.678333333333,4557.0,1.0,0.395,23,318.95232009887695,n,0.1,131
1191,10000.0,6149.7733333333335,4557.0,1.0,0.385,21,330.18730187416077,i,-,0
1192,10000.0,5957.716666666666,4557.0,1.0,0.365,24,289.1051540374756,p,-,0
1193,10000.0,6250.038333333333,4557.0,1.0,0.415,34,229.91441988945007,p,-,0
1194,10000.0,6755.905,4557.0,1.0,0.4816666666666667,31,260.5938010215759,i,-,0
1195,10000.0,7075.321666666667,4524.0,1.0,0.5533333333333333,50,170.7693817615509,m,0.02,16
1196,10000.0,7251.511666666666,4524.0,1.0,0.585,54,168.7223801612854,i,-,0
1197,10000.0,7056.458333333333,4514.0,1.0,0.5733333333333334,46,163.38785219192505,m,0.02,7
1198,10000.0,7190.821666666667,4504.0,1.0,0.5866666666666667,53,123.89053583145142,c,-,8
1199,10000.0,7190.821666666667,4504.0,1.0,0.5866666666666667,31,228.91846084594727,r,-,0
1200,10000.0,7911.515,4481.0,1.0,0.6633333333333333,20,228.93535089492798,m,0.05,3
1201,10000.0,7911.515,4481.0,1.0,0.6633333333333333,18,297.2641592025757,r,-,0
1202,10000.0,7766.206666666667,4472.0,1.0,0.6483333333333333,18,289.594899892807,n,0.02,25
1203,10000.0,7634.446666666667,4472.0,1.0,0.6583333333333333,19,269.52760124206543,i,-,0
1204,10000.0,7835.68,4463.0,1.0,0.6366666666666667,18,276.85596895217896,m,0.02,158
1205,10000.0,7816.425,4463.0,1.0,0.6333333333333333,20,394.97051310539246,i,-,0
1206,10000.0,7772.736666666667,4463.0,1.0,0.6316666666666667,18,270.37302684783936,p,-,0
1207,10000.0,7655.321666666667,4431.0,1.0,0.5866666666666667,32,222.79379296302795,m,0.02,11
1208,10000.0,7366.846666666666,4431.0,1.0,0.5766666666666667,57,143.1493010520935,i,-,0
1209,10000.0,7362.663333333333,4431.0,1.0,0.5583333333333333,37,209.63690614700317,i,-,0
1210,10000.0,7503.083333333333,4431.0,1.0,0.5666666666666667,30,286.20163583755493,p,-,0
1211,10000.0,7859.6866666666665,4431.0,1.0,0.6,39,178.33134269714355,p,-,0
1212,10000.0,7815.916666666667,4431.0,1.0,0.6066666666666667,35,168.10783004760742,p,-,0
1213,10000.0,7944.701666666667,4401.0,1.0,0.6433333333333333,33,199.59612202644348,n,0.2,8
1214,10000.0,8211.901666666667,4401.0,1.0,0.6766666666666666,31,245.89648270606995,i,-,0
1215,10000.0,7712.805,4401.0,1.0,0.6166666666666667,31,148.80572509765625,p,-,0
1216,10000.0,7882.791666666667,4401.0,1.0,0.6116666666666667,31,198.57295107841492,p,-,0
1217,10000.0,7790.821666666667,4393.0,1.0,0.5966666666666667,37,194.6994013786316,m,0.02,6
1218,10000.0,7708.3966666666665,4393.0,1.0,0.5766666666666667,40,191.8619990348816,i,-,0
1219,10000.0,7479.011666666666,4376.0,1.0,0.5083333333333333,33,197.7821319103241,m,0.05,20
1220,10000.0,7618.668333333333,4376.0,1.0,0.56,39,263.4713430404663,i,-,0
1221,10000.0,7618.06,4376.0,1.0,0.5116666666666667,23,270.03085684776306,p,-,0
1222,10000.0,7302.53,4360.0,1.0,0.5083333333333333,33,174.92299914360046,m,0.05,34
1223,10000.0,7517.038333333333,4360.0,1.0,0.505,30,262.7992789745331,i,-,0
1224,10000.0,7795.038333333333,4360.0,1.0,0.5383333333333333,30,221.63618206977844,p,-,0
1225,10000.0,7231.993333333333,4360.0,1.0,0.4683333333333333,29,238.46872806549072,i,-,0
1226,10000.0,7531.343333333333,4360.0,1.0,0.5066666666666667,34,201.82455205917358,p,-,0
1227,10000.0,7260.635,4360.0,1.0,0.47333333333333333,32,176.95499110221863,p,-,0
