Generation,Best Score,Average Score,Best Lap Time,Laps,Average Laps,TPS,Time Spent,Last Mutate Rate,Last Evolution,Father Rank
4258,10000.0,2870.302,4238.0,1.0,0.062,9,136.63812398910522,r,-,0
4259,10000.0,3883.883,4238.0,1.0,0.137,19,180.97205519676208,i,-,0
4260,10000.0,4819.671,4195.0,1.0,0.243,42873,163.86443996429443,m,0.2,29
4261,10000.0,5744.12,4195.0,1.0,0.381,20,291.6947810649872,i,-,0
4262,10000.0,6430.393,4195.0,1.0,0.472,17,313.25035309791565,p,-,0
4263,10000.0,6388.596,4192.0,1.0,0.45,19,308.43527817726135,m,0.1,43
4264,10000.0,6072.094,4192.0,1.0,0.397,44507,200.64927196502686,i,-,0
4265,10000.0,6063.127,4178.0,1.0,0.391,20,229.21207904815674,m,0.1,198
4266,10000.0,5989.096,4178.0,1.0,0.38,24,182.24761605262756,i,-,0
4267,10000.0,6072.139,4178.0,1.0,0.417,25,171.4547619819641,p,-,0
4268,10000.0,6147.576,4174.0,1.0,0.413,20,199.10634398460388,m,0.05,25
4269,10000.0,6142.184,4174.0,1.0,0.438,22,237.89229893684387,i,-,0
4270,10000.0,5988.728,4173.0,1.0,0.415,24,402.35995602607727,m,0.02,0
4271,10000.0,6287.688,4167.0,1.0,0.441,20,260.0440390110016,m,0.2,18
4272,10000.0,6423.308,4164.0,1.0,0.469,21,275.12750220298767,m,0.05,18
4273,10000.0,6384.107,4151.0,1.0,0.453,20,291.1026768684387,m,0.1,38
4274,10000.0,6546.412,4147.0,1.0,0.481,20,214.30374717712402,m,0.02,2
4275,10000.0,6696.105,4135.0,1.0,0.495,22,219.610591173172,m,0.02,0
4276,10000.0,6626.77,4135.0,1.0,0.495,21,184.17092299461365,i,-,0
4277,10000.0,6858.416,4133.0,1.0,0.516,21,200.3918492794037,m,0.02,18
4278,10000.0,7113.87,4133.0,1.0,0.566,23,192.11516213417053,i,-,0
4279,10000.0,7335.573,4130.0,1.0,0.602,19,219.64531683921814,c,-,113
4280,10000.0,7454.726,4130.0,1.0,0.627,21,202.19332313537598,i,-,0
4281,10000.0,6958.297,4127.0,1.0,0.558,22,194.0338101387024,c,-,67
4282,10000.0,7272.081,4127.0,1.0,0.595,21,198.98076581954956,i,-,0
4283,10000.0,7151.005,4127.0,1.0,0.58,22,192.40233087539673,p,-,0
4284,10000.0,7147.66,4127.0,1.0,0.574,22,189.40360713005066,i,-,0
4285,10000.0,7246.963,4127.0,1.0,0.59,18,224.64408493041992,i,-,0
4286,10000.0,7241.904,4117.0,1.0,0.586,21,202.1933891773224,m,0.02,74
4287,10000.0,7128.406,4117.0,1.0,0.582,21,194.7294421195984,i,-,0
4288,10000.0,7278.198,4117.0,1.0,0.607,22,192.67728304862976,p,-,0
4289,10000.0,7100.54,4113.0,1.0,0.577,22,195.3233208656311,m,0.02,8
4290,10000.0,6590.279,4113.0,1.0,0.5,23,181.39589715003967,i,-,0
4291,10000.0,6453.397,4113.0,1.0,0.475,24,183.80597710609436,p,-,0
4292,10000.0,6515.96,4108.0,1.0,0.487,21,195.629008769989,m,0.02,22
4293,10000.0,6392.997,4108.0,1.0,0.472,20,211.98903512954712,i,-,0
4294,10000.0,6392.997,4108.0,1.0,0.472,17,247.72195768356323,r,-,0
4295,10000.0,6115.514,4108.0,1.0,0.43,17,240.62704300880432,i,-,0
4296,10000.0,6306.052,4108.0,1.0,0.462,18,229.73212575912476,p,-,0
4297,10000.0,6384.472,4108.0,1.0,0.464,19,222.21200394630432,p,-,0
4298,10000.0,6404.197,4108.0,1.0,0.47,20,215.4527711868286,c,-,35
4299,10000.0,6527.154,4108.0,1.0,0.486,18,254.60257697105408,p,-,0
4300,10000.0,6403.482,4108.0,1.0,0.463,20,194.85053372383118,p,-,0
4301,10000.0,6233.619,4094.0,1.0,0.436,15,206.24320006370544,n,0.02,117
4302,10000.0,6269.373,4094.0,1.0,0.441,20,228.36133122444153,i,-,0
4303,10000.0,6336.29,4094.0,1.0,0.452,20,210.79409909248352,p,-,0
4304,10000.0,6304.975,4094.0,1.0,0.443,18,236.5193862915039,i,-,0
4305,10000.0,6043.222,4094.0,1.0,0.418,25,171.7616777420044,i,-,0
4306,10000.0,6126.532,4094.0,1.0,0.425,24,178.57263326644897,p,-,0
4307,10000.0,6005.725,4094.0,1.0,0.415,24,175.39119291305542,i,-,0
4308,10000.0,6009.368,4094.0,1.0,0.425,24,178.43880677223206,p,-,0
4309,10000.0,5856.406,4094.0,1.0,0.394,25,162.4112319946289,i,-,0
