Generation,Best Score,Average Score,Best Lap Time,Laps,Average Laps,TPS,Time Spent,Last Mutate Rate,Last Evolution,Father Rank
1885,100000.0,31810.76111111111,5433.0,10.0,2.548888888888889,24,352.61223888397217,r,-,0
1886,10000.0,8106.64,5291.0,1.0,0.6877777777777778,24,376.03827595710754,m,0.05,136
1887,10000.0,7635.571111111111,5208.0,1.0,0.6322222222222222,24,336.8318500518799,m,0.1,2
1888,10000.0,7384.245555555555,5125.0,1.0,0.5922222222222222,20,342.4458861351013,m,0.1,1
1889,10000.0,6749.096666666666,5118.0,1.0,0.5222222222222223,30,240.42470788955688,m,0.2,3
1890,10000.0,6533.847777777778,5050.0,1.0,0.4588888888888889,23,271.5596082210541,m,0.02,0
1891,10000.0,6568.441111111111,5025.0,1.0,0.4477777777777778,24,254.4259798526764,m,0.05,1
1892,10000.0,6313.414444444445,4998.0,1.0,0.4311111111111111,24,249.5976221561432,m,0.2,40
1893,10000.0,5769.076666666667,4995.0,1.0,0.3844444444444444,24,242.92980980873108,m,0.05,1
1894,10000.0,6193.852222222222,4969.0,1.0,0.41,22,262.55989122390747,m,0.1,2
1895,10000.0,6287.9366666666665,4948.0,1.0,0.42444444444444446,22,260.5608808994293,c,-,112
