Generation,Best Score,Average Score,Best Lap Time,Laps,Average Laps,TPS,Time Spent,Last Mutate Rate,Last Evolution,Father Rank
1700,190000.0,64743.469,5395.0,19.0,6.049,2792,17.090611219406128,r,-,0
1701,10000.0,8321.577,5359.0,1.0,0.775,2882,19.700711011886597,n,0.05,417
1702,10000.0,8094.028,5325.0,1.0,0.744,3008,18.88743805885315,m,0.05,37
1703,10000.0,7688.654,5224.0,1.0,0.705,2761,16.74099373817444,m,0.2,22
1704,10000.0,7308.845,5224.0,1.0,0.652,2973,16.65018391609192,i,-,0
1705,10000.0,7448.997,5174.0,1.0,0.669,3153,17.12097191810608,n,0.1,174
1706,10000.0,7287.449,5164.0,1.0,0.649,3040,16.630611896514893,n,0.05,77
1707,10000.0,7693.949,5161.0,1.0,0.708,2745,16.487364292144775,n,0.1,98
1708,10000.0,7264.465,5132.0,1.0,0.652,3013,16.403966188430786,m,0.05,130
1709,10000.0,7006.8,5121.0,1.0,0.621,2999,16.52266502380371,m,0.2,2
1710,10000.0,6865.974,5094.0,1.0,0.599,3413,15.234934091567993,n,0.02,26
1711,10000.0,6945.273,5094.0,1.0,0.601,2841,19.228513717651367,i,-,0
1712,10000.0,7043.521,5028.0,1.0,0.615,3075,16.32423973083496,c,-,2
1713,10000.0,6986.976,5023.0,1.0,0.602,3078,16.439645767211914,m,0.2,123
1714,10000.0,6654.34,5023.0,1.0,0.557,3340,15.397811889648438,i,-,0
1715,10000.0,6349.619,4988.0,1.0,0.518,3317,14.764985084533691,m,0.05,0
1716,10000.0,6992.266,4953.0,1.0,0.599,3458,16.077166080474854,m,0.1,34
1717,10000.0,7326.533,4953.0,1.0,0.636,3521,16.181856632232666,i,-,0
1718,10000.0,7512.684,4943.0,1.0,0.68,2950,15.631988048553467,c,-,82
1719,10000.0,7851.598,4943.0,1.0,0.716,2846,16.136949062347412,i,-,0
1720,10000.0,8034.251,4887.0,1.0,0.747,3055,17.524945974349976,c,-,79
1721,10000.0,7917.495,4887.0,1.0,0.733,2693,15.731888055801392,i,-,0
1722,10000.0,7729.806,4887.0,1.0,0.708,3214,16.704306840896606,p,-,0
1723,10000.0,8032.995,4887.0,1.0,0.745,3409,17.866994857788086,i,-,0
1724,10000.0,8139.368,4886.0,1.0,0.759,3278,17.447925806045532,m,0.02,78
1725,10000.0,8402.641,4878.0,1.0,0.791,2740,17.55389904975891,c,-,30
1726,10000.0,8438.741,4863.0,1.0,0.796,2598,17.759536743164062,n,0.02,39
1727,10000.0,8711.294,4863.0,1.0,0.833,2514,16.744308948516846,i,-,0
1728,10000.0,8497.472,4863.0,1.0,0.803,2578,16.389902114868164,p,-,0
1729,10000.0,8417.947,4861.0,1.0,0.793,2666,18.628562927246094,m,0.1,13
1730,10000.0,8176.874,4861.0,1.0,0.766,2803,17.265859842300415,i,-,0
1731,10000.0,8259.891,4856.0,1.0,0.777,2729,16.67721915245056,m,0.02,100
1732,10000.0,7759.998,4856.0,1.0,0.718,2872,16.96721911430359,c,-,170
1733,10000.0,7653.038,4856.0,1.0,0.697,2832,15.022506713867188,p,-,0
1734,10000.0,7394.689,4854.0,1.0,0.663,2979,15.39843201637268,n,0.1,142
1735,10000.0,7864.42,4854.0,1.0,0.724,3414,17.146780252456665,i,-,0
1736,10000.0,8003.2,4850.0,1.0,0.742,2799,17.25986886024475,c,-,122
1737,10000.0,7939.391,4850.0,1.0,0.727,3222,16.914860010147095,i,-,0
1738,10000.0,8059.611,4850.0,1.0,0.74,3117,17.520090341567993,p,-,0
1739,10000.0,8180.79,4841.0,1.0,0.755,2665,15.99539566040039,m,0.05,23
1740,10000.0,8009.057,4832.0,1.0,0.728,3159,17.158119916915894,n,0.05,94
1741,10000.0,7925.642,4832.0,1.0,0.721,3232,17.48235011100769,i,-,0
1742,10000.0,8150.428,4832.0,1.0,0.745,2665,15.644867181777954,p,-,0
1743,10000.0,7638.214,4831.0,1.0,0.683,3609,16.46099877357483,m,0.02,19
1744,10000.0,7786.493,4819.0,1.0,0.697,2910,16.50628089904785,m,0.1,118
1745,10000.0,7540.487,4817.0,1.0,0.668,3167,16.37283706665039,m,0.05,21
1746,10000.0,7512.757,4817.0,1.0,0.658,2595,16.01578378677368,i,-,0
1747,10000.0,7319.927,4800.0,1.0,0.632,3099,16.899463176727295,m,0.05,2
1748,10000.0,7254.066,4800.0,1.0,0.631,2795,17.074862957000732,i,-,0
1749,10000.0,7398.421,4800.0,1.0,0.645,3358,16.349941968917847,p,-,0
1750,10000.0,7394.756,4800.0,1.0,0.647,3267,16.06635093688965,p,-,0
1751,10000.0,7268.467,4791.0,1.0,0.626,3023,15.379179000854492,m,0.02,27
1752,10000.0,7366.993,4791.0,1.0,0.636,2820,14.736919641494751,i,-,0
1753,10000.0,7340.603,4791.0,1.0,0.634,2999,14.93602705001831,p,-,0
1754,10000.0,7321.981,4791.0,1.0,0.62,2950,17.78344416618347,i,-,0
1755,10000.0,7159.628,4791.0,1.0,0.593,2936,13.90204381942749,p,-,0
1756,10000.0,6738.93,4791.0,1.0,0.537,3069,13.576602935791016,i,-,0
1757,10000.0,7120.37,4791.0,1.0,0.579,2955,16.3822238445282,p,-,0
1758,10000.0,6838.933,4791.0,1.0,0.556,2734,15.032700300216675,i,-,0
1759,10000.0,6943.34,4791.0,1.0,0.577,3308,16.28816509246826,p,-,0
1760,10000.0,6806.098,4791.0,1.0,0.545,2949,15.82712197303772,p,-,0
1761,10000.0,6862.022,4791.0,1.0,0.559,2703,15.207687139511108,i,-,0
1762,10000.0,7015.555,4791.0,1.0,0.575,2771,15.474663972854614,c,-,26
1763,10000.0,6741.316,4791.0,1.0,0.537,3770,15.126775979995728,p,-,0
1764,10000.0,6965.626,4791.0,1.0,0.562,2984,13.838226079940796,p,-,0
1765,10000.0,7019.902,4791.0,1.0,0.575,2933,14.244040966033936,p,-,0
1766,10000.0,6892.036,4791.0,1.0,0.568,3284,14.862610101699829,p,-,0
1767,10000.0,6837.352,4791.0,1.0,0.556,3376,14.69380784034729,p,-,0
1768,10000.0,6784.764,4791.0,1.0,0.546,3448,15.030479907989502,i,-,0
1769,10000.0,6856.394,4791.0,1.0,0.553,3313,14.33853006362915,i,-,0
1770,10000.0,7004.216,4791.0,1.0,0.572,3523,15.708367109298706,i,-,0
1771,10000.0,6634.14,4778.0,1.0,0.529,3828,14.879211902618408,c,-,130
1772,10000.0,6821.992,4778.0,1.0,0.547,3431,15.122168064117432,i,-,0
1773,10000.0,6888.456,4778.0,1.0,0.562,3207,15.083784341812134,p,-,0
1774,10000.0,6891.392,4778.0,1.0,0.556,3383,14.481080770492554,c,-,10
1775,10000.0,6706.669,4778.0,1.0,0.537,3351,14.932307004928589,c,-,9
1776,10000.0,6754.164,4778.0,1.0,0.547,3175,15.077017068862915,p,-,0
1777,10000.0,6677.438,4778.0,1.0,0.531,3232,14.046810150146484,p,-,0
1778,10000.0,6534.696,4778.0,1.0,0.517,3705,14.611987829208374,p,-,0
1779,10000.0,6455.963,4778.0,1.0,0.512,3919,14.6094651222229,i,-,0
1780,10000.0,6462.913,4778.0,1.0,0.509,3158,13.158966064453125,i,-,0
1781,10000.0,6317.644,4778.0,1.0,0.494,3129,18.81116008758545,i,-,0
1782,10000.0,6640.887,4778.0,1.0,0.533,3171,13.325901985168457,i,-,0
1783,10000.0,6422.47,4778.0,1.0,0.492,3217,14.74460506439209,p,-,0
1784,10000.0,6378.091,4778.0,1.0,0.497,3392,13.319704055786133,p,-,0
1785,10000.0,6715.215,4778.0,1.0,0.548,2973,15.007565021514893,p,-,0
1786,10000.0,6487.208,4778.0,1.0,0.508,3126,13.086845874786377,p,-,0
1787,10000.0,6531.485,4778.0,1.0,0.513,3448,14.910600900650024,p,-,0
1788,10000.0,6396.966,4778.0,1.0,0.495,3568,14.999795913696289,i,-,0
