Generation,Best Score,Average Score,Best Lap Time,Laps,Average Laps,TPS,Time Spent,Last Mutate Rate,Last Evolution,Father Rank
4258,10000.0,1852.487,4092.0,1.0,0.002,8,137.3569037914276,r,-,0
4259,10000.0,2100.697,4016.0,1.0,0.006,35,183.36143517494202,n,0.2,42
4260,10000.0,2599.144,4016.0,1.0,0.062,38585,164.33469414710999,i,-,0
4261,10000.0,3011.501,4016.0,1.0,0.095,32,141.00664806365967,p,-,0
4262,10000.0,3457.137,3993.0,1.0,0.129,26,206.33218812942505,m,0.1,36
4263,10000.0,3745.129,3961.0,1.0,0.156,10,240.8647780418396,m,0.1,0
4264,10000.0,3965.287,3958.0,1.0,0.18,28,147.39387798309326,c,-,168
4265,10000.0,4826.444,3927.0,1.0,0.286,20,360.91718196868896,m,0.1,3
4266,10000.0,5875.188,3927.0,1.0,0.447,18,229.45108699798584,i,-,0
4267,10000.0,6253.347,3927.0,1.0,0.487,19,232.40410995483398,m,0.1,119
4268,10000.0,6336.481,3920.0,1.0,0.494,19,260.2144467830658,m,0.1,18
4269,10000.0,6337.144,3920.0,1.0,0.493,16,262.47197794914246,i,-,0
4270,10000.0,6507.055,3894.0,1.0,0.505,18,214.34738898277283,n,0.02,60
4271,10000.0,6601.355,3893.0,1.0,0.514,41752,229.20487904548645,c,-,32
4272,10000.0,6614.361,3892.0,1.0,0.529,14,262.44751930236816,c,-,175
4273,10000.0,6513.323,3874.0,1.0,0.506,18,272.09626293182373,m,0.02,145
4274,10000.0,6549.932,3874.0,1.0,0.51,14,291.74487590789795,i,-,0
4275,10000.0,6452.438,3874.0,1.0,0.511,15,215.1063928604126,p,-,0
4276,10000.0,5953.046,3865.0,1.0,0.447,16,232.3889217376709,m,0.1,73
4277,10000.0,6113.118,3865.0,1.0,0.46,19,206.09315514564514,i,-,0
4278,10000.0,6147.567,3865.0,1.0,0.463,17,216.30739879608154,p,-,0
4279,10000.0,6089.94,3854.0,1.0,0.46,18,244.85311198234558,m,0.02,16
4280,10000.0,6210.161,3847.0,1.0,0.474,20,210.58013319969177,m,0.02,25
4281,10000.0,6085.93,3847.0,1.0,0.448,20,192.6344130039215,i,-,0
4282,10000.0,6266.262,3846.0,1.0,0.477,20,189.70085096359253,m,0.05,66
4283,10000.0,6740.016,3846.0,1.0,0.536,20,198.54586601257324,i,-,0
4284,10000.0,6535.634,3846.0,1.0,0.519,22,184.73628187179565,p,-,0
4285,10000.0,6445.406,3846.0,1.0,0.503,20,200.25570702552795,i,-,0
4286,10000.0,6652.635,3842.0,1.0,0.518,19,216.92638635635376,c,-,150
4287,10000.0,6342.683,3823.0,1.0,0.486,21,193.95018696784973,m,0.02,1
4288,10000.0,6213.134,3823.0,1.0,0.469,20,197.521311044693,i,-,0
4289,10000.0,6210.212,3823.0,1.0,0.482,20,189.2922649383545,p,-,0
4290,10000.0,6469.734,3822.0,1.0,0.514,21,188.96316599845886,m,0.05,3
4291,10000.0,6355.741,3817.0,1.0,0.487,22,180.15331625938416,c,-,20
4292,10000.0,6404.953,3814.0,1.0,0.506,20,196.95256304740906,c,-,60
4293,10000.0,6250.503,3799.0,1.0,0.492,21,187.46648812294006,c,-,21
4294,10000.0,6170.607,3799.0,1.0,0.48,16,245.32887387275696,i,-,0
4295,10000.0,6170.607,3799.0,1.0,0.48,16,251.72335290908813,r,-,0
4296,10000.0,5772.202,3799.0,1.0,0.438,17,238.23400282859802,n,0.05,235
4297,10000.0,6080.511,3799.0,1.0,0.474,17,234.604966878891,p,-,0
