Generation,Best Score,Average Score,Best Lap Time,Laps,Average Laps,TPS,Time Spent,Last Mutate Rate,Last Evolution,Father Rank
1121,130000.0,44030.98,6612.0,13.0,4.371666666666667,3958,18.611777782440186,r,-,0
1122,10000.0,8990.465,6564.0,1.0,0.8783333333333333,3905,20.541609048843384,m,0.2,5
1123,10000.0,8577.52,6496.0,1.0,0.8016666666666666,3278,20.373784065246582,c,-,18
1124,10000.0,7925.34,6456.0,1.0,0.6966666666666667,3041,21.69930100440979,m,0.05,0
1125,10000.0,7304.61,6368.0,1.0,0.6,3047,19.80172109603882,n,0.1,48
1126,10000.0,7254.531666666667,6368.0,1.0,0.575,2626,23.243126153945923,i,-,0
1127,10000.0,7254.531666666667,6368.0,1.0,0.575,3202,18.965977668762207,r,-,0
1128,10000.0,6716.008333333333,6320.0,1.0,0.49333333333333335,3267,18.761518001556396,c,-,83
1129,10000.0,6774.861666666667,6300.0,1.0,0.5183333333333333,2786,21.709346055984497,m,0.1,23
1130,10000.0,6029.778333333334,6260.0,1.0,0.4216666666666667,2896,20.426083087921143,n,0.05,61
1131,10000.0,6141.368333333333,6260.0,1.0,0.43166666666666664,3044,19.268221139907837,i,-,0
1132,10000.0,6141.368333333333,6258.0,1.0,0.43166666666666664,23,307.8411338329315,r,-,0
1133,10000.0,6131.243333333333,6257.0,1.0,0.395,29,288.75760984420776,n,0.05,139
1134,10000.0,6579.75,6236.0,1.0,0.485,35,278.2911069393158,m,0.2,0
1135,10000.0,5771.72,6223.0,1.0,0.4033333333333333,17,186.0770959854126,m,0.1,83
1136,10000.0,6220.275,6150.0,1.0,0.44166666666666665,27,331.6442732810974,m,0.2,0
1137,10000.0,6516.915,6150.0,1.0,0.49666666666666665,49,265.73056411743164,i,-,0
1138,10000.0,6516.915,6150.0,1.0,0.49666666666666665,22,330.8988289833069,r,-,0
1139,10000.0,6342.513333333333,6115.0,1.0,0.47333333333333333,23,332.0909869670868,n,0.05,72
1140,10000.0,6436.125,6115.0,1.0,0.47833333333333333,24,328.66118693351746,i,-,0
1141,10000.0,6197.533333333334,6061.0,1.0,0.465,25,309.90595412254333,m,0.02,1
1142,10000.0,6298.633333333333,6061.0,1.0,0.495,25,311.6343307495117,i,-,0
1143,10000.0,6238.435,6048.0,1.0,0.49,27,310.0876989364624,n,0.05,55
1144,10000.0,6124.281666666667,6029.0,1.0,0.4666666666666667,28,301.4203588962555,c,-,20
1145,10000.0,6125.756666666667,6029.0,1.0,0.45,26,305.8582561016083,i,-,0
1146,10000.0,6015.031666666667,6029.0,1.0,0.4216666666666667,34,244.6612048149109,p,-,0
1147,10000.0,5876.55,6029.0,1.0,0.405,34,323.6103060245514,i,-,0
1148,10000.0,5669.691666666667,6028.0,1.0,0.36833333333333335,52,171.16724705696106,m,0.02,32
1149,10000.0,5941.608333333334,5976.0,1.0,0.415,57,137.58451890945435,n,0.1,24
1150,10000.0,5862.841666666666,5976.0,1.0,0.38666666666666666,47,190.7055208683014,i,-,0
1151,10000.0,5759.2266666666665,5959.0,1.0,0.36,63,236.2755880355835,m,0.02,1
1152,10000.0,5624.298333333333,5959.0,1.0,0.37333333333333335,48,152.2714240550995,i,-,0
1153,10000.0,5151.0233333333335,5930.0,1.0,0.335,72,128.33286690711975,m,0.05,21
1154,10000.0,5277.255,5930.0,1.0,0.35,58,139.83236813545227,i,-,0
1155,10000.0,5450.105,5930.0,1.0,0.36333333333333334,70,142.9436752796173,p,-,0
1156,10000.0,5246.613333333334,5930.0,1.0,0.36333333333333334,68,130.51654195785522,c,-,4
1157,10000.0,5202.65,5926.0,1.0,0.335,70,140.62290787696838,m,0.1,25
1158,10000.0,5034.408333333334,5926.0,1.0,0.325,56,155.74932503700256,i,-,0
