Generation,Best Score,Average Score,Best Lap Time,Laps,Average Laps,TPS,Time Spent,Last Mutate Rate,Last Evolution,Father Rank
1595,10000.0,1666.233,6678.0,1.0,0.001,5384,7.387908697128296,r,-,0
1596,10000.0,2381.872,6678.0,1.0,0.001,5097,9.093555927276611,i,-,0
1597,10000.0,3280.304,6216.0,1.0,0.052,4523,12.01265573501587,m,0.02,5
1598,10000.0,3696.549,6216.0,1.0,0.083,4031,14.460045099258423,i,-,0
1599,10000.0,4027.451,6216.0,1.0,0.1,3963,15.761060237884521,p,-,0
1600,10000.0,3946.117,6216.0,1.0,0.091,4106,14.12702989578247,i,-,0
1601,10000.0,3987.55,6216.0,1.0,0.092,3622,15.74431300163269,p,-,0
1602,10000.0,4333.482,6079.0,1.0,0.112,3084,18.487916231155396,c,-,148
1603,10000.0,4426.222,6079.0,1.0,0.104,3454,16.137585163116455,i,-,0
1604,10000.0,4352.121,6079.0,1.0,0.105,3679,14.6787850856781,p,-,0
1605,10000.0,4473.352,6016.0,1.0,0.104,3519,15.256570816040039,m,0.02,27
1606,10000.0,4845.245,5910.0,1.0,0.116,3260,16.650896787643433,m,0.1,64
1607,10000.0,4856.848,5910.0,1.0,0.118,3428,15.199837923049927,i,-,0
1608,10000.0,4917.516,5858.0,1.0,0.125,3173,17.401530981063843,n,0.05,156
1609,10000.0,4556.789,5858.0,1.0,0.118,3407,15.059901237487793,i,-,0
1610,10000.0,4278.024,5858.0,1.0,0.111,3498,14.57628321647644,p,-,0
1611,10000.0,4232.488,5858.0,1.0,0.114,3838,13.491262197494507,i,-,0
1612,10000.0,4212.619,5858.0,1.0,0.105,3401,14.837827920913696,i,-,0
1613,10000.0,4360.727,5858.0,1.0,0.115,3660,13.91292405128479,p,-,0
1614,10000.0,4173.998,5841.0,1.0,0.11,4079,12.246937990188599,c,-,85
1615,10000.0,4211.357,5841.0,1.0,0.107,3773,13.128452062606812,i,-,0
1616,10000.0,3982.687,5841.0,1.0,0.107,3941,12.657173156738281,p,-,0
1617,10000.0,4145.567,5841.0,1.0,0.123,3628,13.766858100891113,p,-,0
1618,10000.0,4284.907,5841.0,1.0,0.105,3897,12.768866062164307,p,-,0
1619,10000.0,4285.74,5841.0,1.0,0.104,3838,26.97587299346924,p,-,0
1620,10000.0,4336.529,5764.0,1.0,0.119,3727,13.262874841690063,m,0.05,63
1621,10000.0,4650.961,5764.0,1.0,0.136,3729,13.519087791442871,i,-,0
1622,10000.0,4293.391,5764.0,1.0,0.119,3801,13.263713121414185,p,-,0
1623,10000.0,4271.202,5764.0,1.0,0.12,3792,13.29107403755188,p,-,0
1624,10000.0,4068.477,5764.0,1.0,0.102,4115,12.240221977233887,i,-,0
1625,10000.0,4119.064,5764.0,1.0,0.103,3817,13.031129837036133,p,-,0
1626,10000.0,3964.02,5764.0,1.0,0.101,4527,10.911726951599121,i,-,0
1627,10000.0,4222.082,5764.0,1.0,0.102,3902,12.772333860397339,p,-,0
1628,10000.0,4174.957,5764.0,1.0,0.102,3939,12.591138124465942,p,-,0
1629,10000.0,4054.376,5764.0,1.0,0.107,3792,13.31810212135315,p,-,0
1630,10000.0,3996.901,5764.0,1.0,0.093,3758,12.982442140579224,c,-,9
1631,10000.0,4171.675,5764.0,1.0,0.099,3406,14.467928171157837,i,-,0
1632,10000.0,4260.756,5764.0,1.0,0.108,3923,12.613408088684082,i,-,0
1633,10000.0,4092.625,5764.0,1.0,0.103,4146,12.003436088562012,i,-,0
1634,10000.0,3993.325,5764.0,1.0,0.095,4094,12.063104152679443,i,-,0
1635,10000.0,4004.136,5764.0,1.0,0.094,3974,12.535457134246826,i,-,0
1636,10000.0,4100.702,5764.0,1.0,0.104,4452,12.351736783981323,p,-,0
1637,10000.0,4133.849,5764.0,1.0,0.108,3801,19.05933117866516,i,-,0
1638,10000.0,4237.579,5764.0,1.0,0.1,4053,13.039240837097168,p,-,0
1639,10000.0,4214.118,5764.0,1.0,0.102,3748,13.84361481666565,c,-,28
1640,10000.0,4233.156,5764.0,1.0,0.099,3848,14.34375810623169,i,-,0
1641,10000.0,4342.532,5764.0,1.0,0.099,3513,15.554895877838135,p,-,0
1642,10000.0,4147.283,5764.0,1.0,0.091,3873,14.50180983543396,i,-,0
1643,10000.0,4192.119,5764.0,1.0,0.09,3918,14.279088735580444,p,-,0
1644,10000.0,4140.872,5764.0,1.0,0.099,4053,13.388546705245972,p,-,0
1645,10000.0,4196.983,5764.0,1.0,0.095,4053,13.584969997406006,p,-,0
1646,10000.0,4293.239,5764.0,1.0,0.092,3920,14.094284772872925,p,-,0
1647,10000.0,4241.64,5764.0,1.0,0.093,4132,22.031141996383667,i,-,0
1648,10000.0,4195.713,5764.0,1.0,0.097,4167,13.083453178405762,i,-,0
1649,10000.0,4125.819,5764.0,1.0,0.095,4454,13.267644166946411,p,-,0
1650,10000.0,4164.514,5764.0,1.0,0.093,4269,13.028550148010254,p,-,0
1651,10000.0,4230.354,5764.0,1.0,0.096,4423,14.283272981643677,i,-,0
1652,10000.0,4085.225,5764.0,1.0,0.103,4290,13.336886167526245,i,-,0
1653,10000.0,4099.496,5764.0,1.0,0.094,4252,19.0257248878479,i,-,0
1654,10000.0,4251.619,5764.0,1.0,0.093,3845,14.680731773376465,p,-,0
