Generation,Best Score,Average Score,Best Lap Time,Laps,Average Laps,TPS,Time Spent,Last Mutate Rate,Last Evolution,Father Rank
0,1547.35,180.50799999999998,0.0,0.1,0.004,1683,10.524600982666016,r,-,0
1,1967.25,647.1890000000001,0.0,0.15,0.02175,1633,14.828466176986694,m,0.05,3
2,1304.0,646.923,0.0,0.05,0.024,1016,15.690449714660645,m,0.1,3
3,1848.15,871.4375,0.0,0.1,0.03425,1313,18.750766038894653,m,0.05,15
4,1593.0,679.4305,0.0,0.05,0.0025,1115,19.633655071258545,n,0.2,54
5,1229.75,703.81825,0.0,0.05,0.013000000000000001,749,18.772709846496582,m,0.02,10
6,1321.3,506.93625000000003,0.0,0.05,0.006500000000000001,952,17.373292684555054,n,0.2,27
7,1055.05,408.29724999999996,0.0,0.0,0.0,951,20.187351942062378,m,0.02,65
8,2030.95,1371.535,0.0,0.15,0.10175000000000001,1317,16.223881006240845,m,0.02,65
9,1588.8,979.93175,0.0,0.1,0.057999999999999996,1095,18.239026069641113,c,-,6
10,1212.05,450.11400000000003,0.0,0.05,0.002,840,20.886572122573853,i,-,0
11,1684.35,910.6227500000001,0.0,0.1,0.03925,717,18.853236198425293,m,0.2,23
12,1593.5,1015.00625,0.0,0.05,0.03725,774,23.09982919692993,m,0.1,8
13,807.15,482.19275,0.0,0.0,0.0,889,21.53743076324463,m,0.2,31
14,2773.2,2224.4880000000003,0.0,0.15,0.11125,711,24.03912901878357,c,-,54
15,1863.85,1454.01725,0.0,0.1,0.06625,554,31.141839027404785,n,0.1,43
16,1945.65,1448.395,0.0,0.1,0.05225,678,31.722905158996582,n,0.1,26
17,1375.4,1110.16975,0.0,0.05,0.04825,771,21.443833112716675,r,-,0
18,2273.15,1675.2134999999998,0.0,0.1,0.04875,809,24.39082384109497,m,0.1,3
19,2524.95,2268.1552500000003,0.0,0.15,0.1355,668,20.5359628200531,n,0.1,9
20,3128.45,2486.14175,0.0,0.25,0.192,529,17.68395709991455,m,0.1,19
21,1947.75,1180.54825,0.0,0.1,0.02375,679,22.701743125915527,m,0.1,3
22,1552.05,979.91525,0.0,0.0,0.0,699,24.270723819732666,r,-,0
23,2041.35,1419.2535,0.0,0.15,0.08499999999999999,611,17.160176277160645,m,0.05,8
24,1431.8,1158.60275,0.0,0.05,0.04625,601,20.62708568572998,c,-,13
25,2302.65,1996.5145,0.0,0.15,0.13925,576,25.86781072616577,n,0.2,39
26,2076.0,1782.1697499999998,0.0,0.1,0.0925,565,23.832417011260986,p,-,0
27,1637.7,1375.97325,0.0,0.05,0.04725,593,24.038407802581787,n,0.2,16
28,1782.8,1511.634,0.0,0.1,0.0955,615,23.622639179229736,m,0.1,12
29,1846.75,1483.2895,0.0,0.05,0.04625,731,31.23312211036682,m,0.1,0
30,2066.6,1544.5995,0.0,0.05,0.04475,484,20.94805884361267,p,-,0
31,1154.25,952.1719999999999,0.0,0.0,0.0,659,21.952801942825317,m,0.2,17
32,2252.2,1550.50425,0.0,0.15,0.08875,544,27.050360918045044,n,0.2,6
33,1983.1,1714.0759999999998,0.0,0.05,0.046,507,24.884276151657104,m,0.1,3
34,2944.45,2451.536,0.0,0.15,0.127,437,22.888461112976074,m,0.02,47
35,2989.85,2424.417,0.0,0.15,0.14150000000000001,451,22.56909990310669,m,0.1,7
36,1697.8,1160.70425,0.0,0.1,0.048,654,20.417235136032104,m,0.05,39
37,3321.75,2821.84575,0.0,0.2,0.187,582,21.424748182296753,m,0.2,51
38,2577.9,1926.6119999999999,0.0,0.15,0.08299999999999999,579,22.612751722335815,m,0.05,0
39,3103.05,2434.4445,0.0,0.2,0.141,695,23.718040943145752,m,0.2,15
40,3282.3,2801.7625,0.0,0.2,0.18675,602,20.609073877334595,m,0.02,22
41,2584.95,1585.59275,0.0,0.1,0.0185,540,22.808333158493042,m,0.1,66
42,2847.95,2427.776,0.0,0.15,0.13125,539,22.22645092010498,m,0.05,10
43,2928.8,2380.1057499999997,0.0,0.2,0.14225000000000002,499,19.28475594520569,c,-,22
44,2746.8,2429.8022499999997,0.0,0.15,0.143,438,23.989542961120605,n,0.02,28
45,3001.0,2566.25625,0.0,0.15,0.14475,481,18.453444957733154,m,0.1,35
46,2701.0,2048.8142500000004,0.0,0.15,0.0995,385,22.30910587310791,m,0.02,8
47,2785.55,2428.64025,0.0,0.15,0.14225000000000002,480,22.29457116127014,m,0.02,33
